CountryName,RegionName,Date,PredictedDailyNewCases,PredictedDailyNewRatios
Aruba,,2020-12-28,0,0.815536618232727
Aruba,,2020-12-29,0,0.8162453174591064
Aruba,,2020-12-30,10,0.8172950744628906
Aruba,,2020-12-31,13,0.8134444952011108
Aruba,,2021-01-01,0,0.8111041188240051
Aruba,,2021-01-02,7,0.8070785999298096
Aruba,,2021-01-03,8,0.805006742477417
Aruba,,2021-01-04,0,0.8001517057418823
Aruba,,2021-01-05,0,0.7985406517982483
Aruba,,2021-01-06,2,0.7947766780853271
Aruba,,2021-01-07,6,0.7931351661682129
Aruba,,2021-01-08,0,0.7895515561103821
Aruba,,2021-01-09,2,0.7876749634742737
Aruba,,2021-01-10,4,0.7838818430900574
Aruba,,2021-01-11,0,0.7816617488861084
Afghanistan,,2020-12-28,0,0.8137257695198059
Afghanistan,,2020-12-29,0,0.8138590455055237
Afghanistan,,2020-12-30,5,0.8143233060836792
Afghanistan,,2020-12-31,139,0.8106337785720825
Afghanistan,,2021-01-01,117,0.80814129114151
Afghanistan,,2021-01-02,69,0.8043496608734131
Afghanistan,,2021-01-03,2,0.8021565079689026
Afghanistan,,2021-01-04,0,0.7976273894309998
Afghanistan,,2021-01-05,0,0.7958483099937439
Afghanistan,,2021-01-06,0,0.7921693325042725
Afghanistan,,2021-01-07,70,0.7903586626052856
Afghanistan,,2021-01-08,62,0.7868387699127197
Afghanistan,,2021-01-09,25,0.7849553227424622
Afghanistan,,2021-01-10,0,0.7815152406692505
Afghanistan,,2021-01-11,0,0.7795042395591736
Angola,,2020-12-28,0,0.8149062395095825
Angola,,2020-12-29,14,0.8149840235710144
Angola,,2020-12-30,46,0.8154619336128235
Angola,,2020-12-31,29,0.8116289377212524
Angola,,2021-01-01,13,0.8091727495193481
Angola,,2021-01-02,3,0.8051563501358032
Angola,,2021-01-03,52,0.8028543591499329
Angola,,2021-01-04,0,0.7981165051460266
Angola,,2021-01-05,0,0.7962598204612732
Angola,,2021-01-06,16,0.7924630045890808
Angola,,2021-01-07,5,0.790623664855957
Angola,,2021-01-08,0,0.7871201038360596
Angola,,2021-01-09,0,0.785274863243103
Angola,,2021-01-10,36,0.7816856503486633
Angola,,2021-01-11,0,0.7797046303749084
Albania,,2020-12-28,0,0.8132373690605164
Albania,,2020-12-29,0,0.8125661015510559
Albania,,2020-12-30,50,0.8124095797538757
Albania,,2020-12-31,134,0.808689534664154
Albania,,2021-01-01,244,0.8061058521270752
Albania,,2021-01-02,120,0.8023233413696289
Albania,,2021-01-03,292,0.7999839782714844
Albania,,2021-01-04,0,0.7956498265266418
Albania,,2021-01-05,0,0.793714165687561
Albania,,2021-01-06,0,0.7901626229286194
Albania,,2021-01-07,0,0.7882513403892517
Albania,,2021-01-08,104,0.7849414348602295
Albania,,2021-01-09,9,0.7830350995063782
